feature,importance
Units Sold,1.5005327341447159
Unit Price,0.3939754547796985
Category_Iced Coffee,0.030242038404524753
Category_Appetizers,0.026919045679615304
Category_Silog Meals,0.02666066449841543
Category_Pasta | Noodles,0.010954365686477984
Category_Specialty Coffee,0.010518074196175387
Category_Cakes | Pastries,0.009642130649479885
Category_Rice Meals,0.008488648380826403
Discount Applied (%),0.0078045685379609766
Weather_Rainy,0.0032921330456425536
Weather_Stormy,0.003144000552031312
Weather_Sunny,0.001444286769235381
Weather_Partly Cloudy,0.0013793325675864442
Foot Traffic,-3.168629561960401e-05
Holiday,-5.277013261393293e-05
Local Event,-0.00011616445798634523
Ad Spend (â‚±),-0.0002155290959669043
Social Media Engagement,-0.00024746862329270145
